MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101016021871,18.13,0.12,42.37016, 1.15698,53710.24116,0
1101016021871,17.98,0.11,42.37015, 1.15685,53710.24917,0
1101016021871,18.12,0.12,42.37016, 1.15689,53710.25721,0
1101016021871,18.12,0.12,42.37015, 1.15698,53710.26524,0
1101016021871,18.11,0.12,42.37020, 1.15696,53733.16816,0
1101016021871,18.10,0.12,42.37010, 1.15681,53733.17522,0
1101016021871,18.00,0.12,42.37017, 1.15688,53733.18211,0
1101016021871,18.03,0.12,42.37017, 1.15690,53733.18949,0
1101016021871,18.08,0.12,42.37022, 1.15689,53677.30790,0
1101016021871,17.98,0.12,42.37032, 1.15693,53677.31217,0
1101016021871,18.01,0.12,42.37027, 1.15696,53677.31644,0
1101016021871,18.08,0.12,42.37018, 1.15695,53677.32073,0
1101016021871,18.22,0.13,42.37023, 1.15682,53696.29721,0
1101016021871,18.06,0.12,42.37015, 1.15701,53696.30251,0
1101016021871,18.12,0.12,42.37018, 1.15685,53696.30781,0
1101016021871,18.19,0.13,42.37010, 1.15692,53696.31311,0
1101016021871,18.20,0.13,42.37018, 1.15695,53703.17597,0
1101016021871,18.13,0.12,42.37010, 1.15700,53703.18239,0
1101016021871,18.07,0.12,42.37016, 1.15693,53703.18887,0
1101016021871,18.14,0.12,42.37012, 1.15707,53703.19529,0
1101016021871,18.09,0.13,42.37022, 1.15684,53649.32368,0
1101016021871,18.20,0.14,42.37018, 1.15690,53649.32935,0
1101016021871,17.99,0.13,42.37025, 1.15686,53649.33489,0
1101016021871,18.22,0.14,42.37009, 1.15691,53649.34058,0
1101016021871,18.25,0.14,42.37017, 1.15685,53671.31132,0
1101016021871,18.13,0.12,42.37018, 1.15681,53671.31647,0
1101016021871,17.94,0.11,42.37032, 1.15678,53671.32163,0
1101016021871,18.02,0.12,42.37031, 1.15688,53671.32680,0
1101016021871,17.95,0.12,42.37036, 1.15689,53627.43051,0
1101016021871,17.95,0.12,42.37025, 1.15686,53627.43841,0
1101016021871,18.04,0.12,42.37019, 1.15701,53627.44625,0
1101016021871,18.11,0.12,42.37014, 1.15689,53627.45414,0
1101016021871,17.67,0.10,42.37023, 1.15698,54080.28204,0
1101016021871,17.70,0.10,42.37034, 1.15698,54080.28938,0
1101016021871,17.71,0.10,42.37024, 1.15686,54080.29663,0
1101016021871,17.80,0.11,42.37028, 1.15685,54080.30385,0
1101016021871,17.85,0.11,42.37025, 1.15685,54090.19681,0
1101016021871,17.91,0.11,42.37009, 1.15696,54090.20382,0
1101016021871,17.74,0.10,42.37038, 1.15694,54090.21083,0
1101016021871,17.78,0.10,42.37008, 1.15693,54090.21785,0
1101016021871,18.14,0.34,42.37036, 1.15686,53741.14741,0
1101016021871,18.13,0.34,42.37019, 1.15684,53741.15429,0
1101016021871,18.08,0.33,42.37036, 1.15662,53741.16120,0
1101016021871,17.65,0.26,42.37048, 1.15702,53741.16814,0
1101016021871,17.91,0.11,42.37016, 1.15701,53761.15473,0
1101016021871,18.12,0.12,42.37015, 1.15685,53761.15951,0
1101016021871,18.01,0.13,42.37015, 1.15673,53761.16428,0
1101016021871,18.03,0.13,42.37021, 1.15691,53761.16910,0
1101016021871,18.16,0.13,42.37019, 1.15704,53798.11019,0
1101016021871,18.10,0.12,42.37029, 1.15690,53798.11513,0
1101016021871,18.05,0.12,42.37041, 1.15679,53798.11999,0
1101016021871,17.97,0.12,42.37007, 1.15695,53798.12496,0
1101016021871,17.72,0.10,42.37033, 1.15695,54052.21959,0
1101016021871,17.79,0.10,42.37018, 1.15687,54052.22601,0
1101016021871,17.73,0.10,42.37034, 1.15685,54052.23250,0
1101016021871,17.95,0.11,42.37015, 1.15695,54052.23898,0
1101016021871,17.81,0.10,42.37011, 1.15692,54058.24034,0
1101016021871,17.74,0.10,42.37018, 1.15689,54058.24640,0
1101016021871,17.65,0.10,42.37020, 1.15696,54058.25248,0
1101016021871,17.80,0.10,42.37013, 1.15689,54058.25852,0
